iter	Passed	Remaining
0	16	49597
1	32	48229
2	57	57146
3	74	55861
4	89	53408
5	104	52343
6	119	51245
7	137	51311
8	151	50360
9	165	49585
10	180	48961
11	193	48205
12	209	48125
13	225	48143
14	241	48039
15	255	47611
16	268	47105
17	284	47055
18	299	46970
19	314	46924
20	328	46539
21	341	46223
22	358	46352
23	373	46362
24	389	46381
25	405	46346
26	420	46352
27	437	46405
28	451	46276
29	468	46351
30	483	46283
31	498	46191
32	513	46195
33	527	46020
34	540	45808
35	556	45812
36	571	45738
37	584	45538
38	597	45388
39	613	45431
40	629	45447
41	644	45388
42	660	45443
43	674	45296
44	688	45186
45	702	45106
46	719	45235
47	733	45136
48	750	45202
49	766	45209
50	782	45266
51	799	45297
52	815	45350
53	829	45276
54	845	45257
55	859	45179
56	874	45157
57	887	45031
58	904	45098
59	920	45102
60	937	45165
61	951	45110
62	968	45150
63	981	45046
64	996	44991
65	1012	44996
66	1027	44971
67	1045	45060
68	1060	45066
69	1078	45133
70	1095	45176
71	1109	45103
72	1126	45157
73	1143	45206
74	1158	45172
75	1175	45219
76	1193	45297
77	1216	45579
78	1231	45534
79	1248	45571
80	1266	45647
81	1283	45674
82	1297	45609
83	1311	45537
84	1326	45502
85	1342	45489
86	1359	45505
87	1372	45406
88	1386	45352
89	1401	45325
90	1416	45273
91	1434	45333
92	1449	45297
93	1463	45238
94	1480	45276
95	1495	45240
96	1513	45293
97	1531	45355
98	1546	45308
99	1559	45231
100	1573	45176
101	1587	45108
102	1602	45077
103	1617	45029
104	1633	45048
105	1647	44973
106	1664	44990
107	1680	45011
108	1696	44982
109	1712	44998
110	1729	45015
111	1747	45065
112	1765	45100
113	1781	45088
114	1797	45099
115	1812	45056
116	1828	45057
117	1844	45038
118	1861	45058
119	1879	45104
120	1900	45230
121	1925	45434
122	1953	45703
123	1976	45850
124	2002	46056
125	2022	46142
126	2046	46286
127	2065	46339
128	2092	46567
129	2112	46629
130	2128	46611
131	2145	46605
132	2163	46632
133	2179	46625
134	2193	46555
135	2209	46524
136	2224	46483
137	2241	46493
138	2258	46479
139	2274	46473
140	2290	46443
141	2305	46394
142	2319	46349
143	2334	46305
144	2349	46267
145	2367	46285
146	2384	46278
147	2398	46226
148	2413	46177
149	2430	46185
150	2447	46186
151	2463	46150
152	2479	46137
153	2496	46139
154	2510	46082
155	2526	46053
156	2542	46032
157	2558	46021
158	2572	45964
159	2590	45977
160	2604	45931
161	2623	45955
162	2638	45928
163	2653	45886
164	2672	45913
165	2692	45961
166	2720	46149
167	2742	46235
168	2768	46384
